epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8876.16,0.79983,0.97445,1.18738,0.73834,0.79223,0.8357,0.62972,0.81881,0.91076,1.17454,0.000475705,0.000475705,0.000475705
2,17595.4,0.77486,0.68101,1.15121,0.87669,0.87031,0.92051,0.72699,0.6913,0.61409,1.12228,0.000933188,0.000933188,0.000933188
3,26310.6,0.74664,0.6344,1.13066,0.85046,0.89533,0.94158,0.74136,0.67077,0.55913,1.09967,0.00137181,0.00137181,0.00137181
4,35053.9,0.70835,0.56734,1.10304,0.92313,0.90408,0.95537,0.76812,0.6669,0.52397,1.08263,0.00134412,0.00134412,0.00134412
5,43793.1,0.6815,0.519,1.08439,0.89791,0.9284,0.95584,0.81051,0.54802,0.41437,1.00097,0.00131582,0.00131582,0.00131582
6,52537.3,0.65199,0.48209,1.06815,0.9371,0.93706,0.97103,0.81286,0.57212,0.43902,1.02502,0.00128753,0.00128753,0.00128753
7,61292.1,0.62877,0.46261,1.05977,0.87818,0.93228,0.94329,0.7885,0.56984,0.41031,1.02555,0.00125923,0.00125923,0.00125923
8,70054.5,0.60884,0.44125,1.04751,0.95602,0.93371,0.97726,0.82949,0.52822,0.37378,0.99965,0.00123094,0.00123094,0.00123094
9,79144.7,0.59113,0.42882,1.04173,0.94894,0.95765,0.97998,0.84418,0.54435,0.34481,1.02817,0.00120265,0.00120265,0.00120265
10,89301.7,0.5846,0.40976,1.0325,0.96135,0.95229,0.98139,0.86442,0.48551,0.32666,0.97537,0.00117435,0.00117435,0.00117435
11,99160.5,0.56733,0.39614,1.02536,0.93246,0.96927,0.98188,0.85731,0.4725,0.31562,0.95366,0.00114606,0.00114606,0.00114606
12,108790,0.56152,0.38895,1.02222,0.95516,0.97159,0.98684,0.87839,0.46354,0.28017,0.95912,0.00111776,0.00111776,0.00111776
13,117458,0.55382,0.37933,1.01822,0.95215,0.97411,0.988,0.87167,0.4711,0.31043,0.95023,0.00108947,0.00108947,0.00108947
14,126119,0.54387,0.37389,1.0145,0.96699,0.96517,0.98425,0.88116,0.45013,0.30861,0.93997,0.00106118,0.00106118,0.00106118
15,134755,0.54876,0.36892,1.01098,0.96689,0.96579,0.98482,0.87989,0.46097,0.28942,0.97646,0.00103288,0.00103288,0.00103288
16,143361,0.53283,0.35965,1.00775,0.97003,0.95915,0.98771,0.88761,0.43755,0.26457,0.94393,0.00100459,0.00100459,0.00100459
17,151998,0.5208,0.35154,1.00005,0.95665,0.9752,0.98684,0.89352,0.42924,0.25555,0.93526,0.000976293,0.000976293,0.000976293
18,160558,0.51716,0.34074,0.99895,0.9601,0.97374,0.98976,0.89635,0.42577,0.25113,0.9316,0.000947999,0.000947999,0.000947999
19,169122,0.51206,0.3372,0.9968,0.97772,0.97003,0.98939,0.896,0.43182,0.26213,0.94591,0.000919704,0.000919704,0.000919704
20,177818,0.50607,0.33328,0.99425,0.96532,0.97041,0.99012,0.88826,0.45378,0.30543,0.96989,0.00089141,0.00089141,0.00089141
21,186671,0.49554,0.32581,0.99044,0.96447,0.97966,0.99169,0.90107,0.42448,0.24055,0.94059,0.000863116,0.000863116,0.000863116
22,195530,0.49949,0.32323,0.98829,0.97364,0.97369,0.99072,0.90769,0.41343,0.23757,0.92759,0.000834822,0.000834822,0.000834822
23,204202,0.49281,0.31673,0.98592,0.98607,0.96723,0.99177,0.91151,0.3959,0.24715,0.91144,0.000806528,0.000806528,0.000806528
24,212452,0.48855,0.31319,0.98442,0.97076,0.96947,0.9896,0.91262,0.39997,0.23954,0.91647,0.000778233,0.000778233,0.000778233
25,220691,0.48399,0.30771,0.98122,0.97514,0.9821,0.99235,0.91196,0.41101,0.25515,0.94531,0.000749939,0.000749939,0.000749939
26,228942,0.48707,0.3082,0.98121,0.9827,0.96738,0.99257,0.90919,0.41219,0.23121,0.942,0.000721645,0.000721645,0.000721645
27,237164,0.47571,0.30522,0.97752,0.98447,0.97738,0.99395,0.91878,0.38635,0.22447,0.91206,0.000693351,0.000693351,0.000693351
28,245375,0.46862,0.29617,0.97724,0.97018,0.98132,0.99249,0.91862,0.38594,0.22168,0.91881,0.000665057,0.000665057,0.000665057
29,253547,0.46331,0.29168,0.97152,0.9849,0.9743,0.99296,0.91973,0.38024,0.22734,0.90637,0.000636762,0.000636762,0.000636762
30,261792,0.463,0.28776,0.9693,0.97345,0.98263,0.99286,0.92431,0.3776,0.21651,0.9123,0.000608468,0.000608468,0.000608468
31,269988,0.45985,0.2886,0.96868,0.98654,0.97457,0.99348,0.92326,0.37074,0.22043,0.90535,0.000580174,0.000580174,0.000580174
